unit,group,time,outcome,post,treated
control_29,control,3,50.44333993410948,0,0
control_29,control,4,49.154682729299694,0,0
control_29,control,5,51.8132162175497,0,0
control_29,control,6,57.9526038712803,0,0
control_29,control,7,53.90355320177716,0,0
control_29,control,8,57.657457860281546,0,0
control_29,control,9,55.21579656394216,0,0
control_29,control,10,57.815410639683755,0,0
control_29,control,11,62.69022709843243,0,0
control_29,control,12,59.15792991806962,1,0
control_29,control,13,65.29999935612275,1,0
control_29,control,14,64.35384431752358,1,0
control_29,control,15,63.076645101307825,1,0
control_29,control,16,66.72963233769116,1,0
control_29,control,17,68.6731639653173,1,0
control_29,control,18,69.23491319698198,1,0
control_29,control,19,66.11408203925042,1,0
control_29,control,20,69.06349533386532,1,0
control_29,control,21,71.28597062089578,1,0
control_29,control,22,72.89537924028245,1,0
control_29,control,23,75.54882850006764,1,0
control_30,control,0,51.6489007066782,0,0
control_30,control,1,52.97614205936291,0,0
control_30,control,2,53.74101702878633,0,0
control_30,control,3,55.64946314816248,0,0
control_30,control,4,56.02221157028004,0,0
control_30,control,5,56.13919298376809,0,0
control_30,control,6,55.946966966522915,0,0
control_30,control,7,53.63184208653722,0,0
control_30,control,8,58.67946595596336,0,0
control_30,control,9,59.102070456153406,0,0
control_30,control,10,60.09631832034692,0,0
control_30,control,11,57.86612905844454,0,0
control_30,control,12,59.123978693397625,1,0
control_30,control,13,64.25886304500895,1,0
control_30,control,14,62.93991259475882,1,0
control_30,control,15,65.24848986134637,1,0
control_30,control,16,64.80859078299102,1,0
control_30,control,17,65.6779318738506,1,0
control_30,control,18,68.36145277094009,1,0
control_30,control,19,66.31926126668233,1,0
control_30,control,20,68.41005784112804,1,0
control_30,control,21,68.15973127396498,1,0
control_30,control,22,69.08175496063943,1,0
control_30,control,23,70.19886873269576,1,0
control_31,control,0,53.622181109315605,0,0
control_31,control,1,50.27357939156321,0,0
control_31,control,2,52.641175845513146,0,0
control_31,control,3,53.08758215512117,0,0
control_31,control,4,57.81312517821064,0,0
control_31,control,5,56.26440410035998,0,0
control_31,control,6,58.88710876410775,0,0
control_31,control,7,54.80442407693019,0,0
control_31,control,8,59.261770492576304,0,0
control_31,control,9,61.459056689918306,0,0
control_31,control,10,60.79648821505594,0,0
control_31,control,11,63.71500612446945,0,0
control_31,control,12,61.50159361197164,1,0
control_31,control,13,66.3069905303772,1,0
control_31,control,14,69.0382170350782,1,0
control_31,control,15,64.66686880479403,1,0
control_31,control,16,65.45366602070547,1,0
control_31,control,17,70.20356515557606,1,0
control_31,control,18,71.40806563063573,1,0
control_31,control,19,68.15532642270142,1,0
control_31,control,20,69.31279798064989,1,0
control_31,control,21,70.54172753495425,1,0
control_31,control,22,69.36852086844037,1,0
control_31,control,23,71.17224313537417,1,0
control_32,control,0,44.9099263914661,0,0
control_32,control,1,46.370945874802295,0,0
control_32,control,2,49.926737638846994,0,0
control_32,control,3,45.75224881523084,0,0
control_32,control,4,50.64082193715117,0,0
control_32,control,5,49.16741969523658,0,0
control_32,control,6,50.41969020787232,0,0
control_32,control,7,52.79147685499998,0,0
control_32,control,8,50.11961407103176,0,0
control_32,control,9,54.053097850014055,0,0
control_32,control,10,54.54440301756164,0,0
control_32,control,11,56.119621372641426,0,0
control_32,control,12,56.63627637593034,1,0
control_32,control,13,61.89175961142608,1,0
control_32,control,14,56.628899606591254,1,0
control_32,control,15,57.765605908579836,1,0
control_32,control,16,58.504539009223535,1,0
control_32,control,17,59.56308606724213,1,0
control_32,control,18,60.3224862944392,1,0
control_32,control,19,64.89851385475693,1,0
control_32,control,20,66.28470953201112,1,0
control_32,control,21,63.22542869202204,1,0
control_32,control,22,63.62543037680213,1,0
control_32,control,23,67.15619287927298,1,0
control_33,control,0,47.644730820297745,0,0
control_33,control,1,45.270689730376226,0,0
control_33,control,2,52.46048154480637,0,0
control_33,control,3,54.02051967011284,0,0
control_33,control,4,50.266480124728574,0,0
control_33,control,5,51.77994756760093,0,0
control_33,control,6,54.19037465069826,0,0
control_33,control,7,55.35085063099805,0,0
control_33,control,8,57.06231877814521,0,0
control_33,control,9,60.8289324921078,0,0
control_33,control,10,57.517922141362554,0,0
control_33,control,11,57.3385152890493,0,0
control_33,control,12,57.2397645038727,1,0
control_33,control,13,59.59983606179347,1,0
control_33,control,14,62.05873537770526,1,0
control_33,control,15,66.77739823226398,1,0
control_33,control,16,63.21635308893162,1,0
control_33,control,17,65.76244477205731,1,0
control_33,control,18,66.34531625840955,1,0
control_33,control,19,69.81824177922678,1,0
control_33,control,20,73.55861326585341,1,0
control_33,control,21,68.50630405004107,1,0
control_33,control,22,69.65245589262081,1,0
control_33,control,23,73.78294971357097,1,0
control_34,control,0,54.57731381878348,0,0
control_34,control,1,53.87554399913104,0,0
control_34,control,2,56.96010857466338,0,0
control_34,control,3,59.18087680701818,0,0
control_34,control,4,59.7891047408207,0,0
control_34,control,5,60.347359173214166,0,0
control_34,control,6,62.650831222751485,0,0
control_34,control,7,64.04074375703813,0,0
control_34,control,8,65.65114129079544,0,0
control_34,control,9,65.36891381647327,0,0
control_34,control,10,64.92192861323389,0,0
control_34,control,11,66.73426287930783,0,0
control_34,control,12,70.03852417203152,1,0
control_34,control,13,67.17630562961394,1,0
control_34,control,14,70.7321943219078,1,0
control_34,control,15,70.39284081208089,1,0
control_34,control,16,72.42167881517885,1,0
control_34,control,17,76.10576362709742,1,0
control_34,control,18,75.11572877049622,1,0
control_34,control,19,76.01107446334233,1,0
control_34,control,20,74.38315981764377,1,0
control_34,control,21,79.78004996423167,1,0
control_34,control,22,80.76318192703299,1,0
control_34,control,23,84.98339374393535,1,0
control_35,control,0,48.9598761926565,0,0
control_35,control,1,52.63793041752834,0,0
control_35,control,2,50.31434782599388,0,0
control_35,control,3,52.084896975074855,0,0
control_35,control,4,53.76456197573365,0,0
control_35,control,5,53.94390223537968,0,0
control_35,control,6,53.6997317927323,0,0
control_35,control,7,56.00269404039637,0,0
control_35,control,8,58.78369258708569,0,0
control_35,control,9,55.60531352131042,0,0
control_35,control,10,58.94619850119268,0,0
control_35,control,11,58.30193255578698,0,0
control_35,control,12,63.11418247628141,1,0
control_35,control,13,58.69963044163057,1,0
control_35,control,14,61.650075589421334,1,0
control_35,control,15,64.54425806685994,1,0
control_35,control,16,67.94279740796597,1,0
control_35,control,17,65.70216386011772,1,0
control_35,control,18,65.74518036164369,1,0
control_35,control,19,71.63980858667766,1,0
control_35,control,20,66.00338167973038,1,0
control_35,control,21,65.5237126000891,1,0
control_35,control,22,71.82326844620233,1,0
control_35,control,23,70.96104613015683,1,0
control_36,control,0,45.38143734188883,0,0
control_36,control,1,44.83651429760291,0,0
control_36,control,2,44.47489840646452,0,0
control_36,control,3,49.85125750509653,0,0
control_36,control,4,50.4775808491835,0,0
control_36,control,5,50.04966241043734,0,0
control_36,control,6,55.012123774821376,0,0
control_36,control,7,50.24951589480367,0,0
control_36,control,8,50.40947073033644,0,0
control_36,control,9,53.147540577153364,0,0
control_36,control,10,55.5110203289348,0,0
control_36,control,11,57.15970690502111,0,0
control_36,control,12,57.261391535392995,1,0
control_36,control,13,59.518810088864186,1,0
control_36,control,14,57.38245609218464,1,0
control_36,control,15,63.84389979344198,1,0
control_36,control,16,61.86290387324026,1,0
control_36,control,17,65.3326335379316,1,0
control_36,control,18,64.85432821224069,1,0
control_36,control,19,66.15321960252277,1,0
control_36,control,20,67.45008336940955,1,0
control_36,control,21,68.27680157370972,1,0
control_36,control,22,69.7376656181401,1,0
control_36,control,23,72.18136080339981,1,0
control_37,control,0,50.80313445993289,0,0
control_37,control,1,54.933740655165145,0,0
control_37,control,2,51.77162199590651,0,0
control_37,control,3,57.797187841605535,0,0
control_37,control,4,55.18589145025407,0,0
control_37,control,5,53.47555752306551,0,0
control_37,control,6,57.664216932882034,0,0
control_37,control,7,57.11680516386954,0,0
control_37,control,8,61.231095952555606,0,0
control_37,control,9,59.31546127173223,0,0
control_37,control,10,60.7992427396663,0,0
control_37,control,11,58.98342851996365,0,0
control_37,control,12,62.92879771911541,1,0
control_37,control,13,60.0565520801145,1,0
control_37,control,14,62.80740546215982,1,0
control_37,control,15,68.56694079717872,1,0
control_37,control,16,69.68861217795063,1,0
control_37,control,17,70.03882735997774,1,0
control_37,control,18,68.32486032590825,1,0
control_37,control,19,71.23429027564156,1,0
control_37,control,20,72.39340828550324,1,0
control_37,control,21,71.15478436105813,1,0
control_37,control,22,77.54921071873638,1,0
control_37,control,23,77.36803907211227,1,0
control_38,control,0,49.31194474674678,0,0
control_38,control,1,45.81439797790256,0,0
control_38,control,2,50.40620153360939,0,0
control_38,control,3,50.53927638655444,0,0
control_38,control,4,50.90269344665966,0,0
control_38,control,5,53.346421464577034,0,0
control_38,control,6,58.50668368794744,0,0
control_38,control,7,57.19568494068187,0,0
control_38,control,8,55.77432982248171,0,0
control_38,control,9,59.06454194865907,0,0
control_38,control,10,61.72077584301822,0,0
control_38,control,11,61.7740209195712,0,0
control_38,control,12,61.046702877485465,1,0
control_38,control,13,60.636257166133426,1,0
control_38,control,14,64.3292659326712,1,0
control_38,control,15,64.72247866018698,1,0
control_38,control,16,66.7285829132984,1,0
control_38,control,17,67.21122866050632,1,0
control_38,control,18,69.04267907168051,1,0
control_38,control,19,66.87579180182016,1,0
control_38,control,20,71.5837389401094,1,0
control_38,control,21,70.34683860212499,1,0
control_38,control,22,75.10484972189018,1,0
control_38,control,23,70.57864092435997,1,0
control_39,control,0,57.37698300859735,0,0
control_39,control,1,58.73183842606387,0,0
control_39,control,2,60.078706556130136,0,0
control_39,control,3,62.58752414366887,0,0
control_39,control,4,63.804654305282305,0,0
control_39,control,5,62.63137439968041,0,0
control_39,control,6,64.74985630138187,0,0
control_39,control,7,70.10289728147382,0,0
control_39,control,8,70.29323398279779,0,0
control_39,control,9,68.73058606029069,0,0
control_39,control,10,68.95373675562529,0,0
control_39,control,11,70.13758353107168,0,0
control_39,control,12,72.14434790144225,1,0
control_39,control,13,69.89151790393088,1,0
control_39,control,14,72.44214103782726,1,0
control_39,control,15,70.63951704326504,1,0
control_39,control,16,75.79492251457704,1,0
control_39,control,17,77.31065922711824,1,0
control_39,control,18,76.06968550146027,1,0
control_39,control,19,81.20382303098533,1,0
control_39,control,20,76.62410925674685,1,0
control_39,control,21,77.16668190067817,1,0
control_39,control,22,81.56412637656402,1,0
control_39,control,23,84.22921042301465,1,0
control_40,control,0,60.57700012415194,0,0
control_40,control,1,59.296733092001034,0,0
control_40,control,2,59.982607004833916,0,0
control_40,control,3,63.04929305340201,0,0
control_40,control,4,63.54073050896861,0,0
control_40,control,5,60.03741201188638,0,0
control_40,control,6,67.09738859901977,0,0
control_40,control,7,67.85860218157599,0,0
control_40,control,8,64.80140564397513,0,0
control_40,control,9,67.79824968758211,0,0
control_40,control,10,68.94881456698587,0,0
control_40,control,11,69.43621329978133,0,0
control_40,control,12,68.76836703415577,1,0
control_40,control,13,69.47984217968362,1,0
control_40,control,14,71.72609234728993,1,0
control_40,control,15,75.07677010150466,1,0
control_40,control,16,74.7726239458879,1,0
control_40,control,17,73.89830654623994,1,0
control_40,control,18,77.13704420542194,1,0
control_40,control,19,70.8506731165782,1,0
control_40,control,20,79.79940133229567,1,0
control_40,control,21,74.97655394770838,1,0
control_40,control,22,78.68521119617142,1,0
control_40,control,23,78.12486486343849,1,0
control_41,control,0,42.59119021877169,0,0
control_41,control,1,45.33568306359476,0,0
control_41,control,2,45.664916821112804,0,0
control_41,control,3,47.82892231205527,0,0
control_41,control,4,48.14456711846739,0,0
control_41,control,5,46.5410215667076,0,0
control_41,control,6,52.21562233271686,0,0
control_41,control,7,50.35165820623781,0,0
control_41,control,8,49.34209025397879,0,0
control_41,control,9,52.71510640810431,0,0
control_41,control,10,57.688938990042615,0,0
control_41,control,11,57.50394557173883,0,0
control_41,control,12,56.22228049743398,1,0
control_41,control,13,57.33715203635069,1,0
control_41,control,14,58.50848002129064,1,0
control_41,control,15,64.42132876958493,1,0
control_41,control,16,62.147786385664205,1,0
control_41,control,17,63.36008145432109,1,0
control_41,control,18,65.67664774674049,1,0
control_41,control,19,65.2097418354677,1,0
control_41,control,20,65.33016190451112,1,0
control_41,control,21,66.57162917672039,1,0
control_41,control,22,67.93720903480008,1,0
control_41,control,23,69.12204975934638,1,0
control_42,control,0,55.10342787261605,0,0
control_42,control,1,54.48190914654846,0,0
control_42,control,2,55.80580727597854,0,0
control_42,control,3,52.65733011486287,0,0
control_42,control,4,59.491581421912784,0,0
control_42,control,5,59.35709761288453,0,0
control_42,control,6,61.66533546938858,0,0
control_42,control,7,54.881999081862624,0,0
control_42,control,8,65.85645383639219,0,0
control_42,control,9,62.40571975910112,0,0
control_42,control,10,65.90645923746723,0,0
control_42,control,11,62.615476338321855,0,0
control_42,control,12,66.92603059127879,1,0
control_42,control,13,64.59884624338707,1,0
control_42,control,14,66.4633340369235,1,0
control_42,control,15,72.54412925462941,1,0
control_42,control,16,69.33989633394988,1,0
control_42,control,17,71.16132147041675,1,0
control_42,control,18,73.47178577401554,1,0
control_42,control,19,73.72820867716396,1,0
control_42,control,20,74.04287730008664,1,0
control_42,control,21,75.47715608331266,1,0
control_42,control,22,80.55925983743751,1,0
control_42,control,23,76.64238566147452,1,0
control_43,control,0,53.21654709949081,0,0
control_43,control,1,54.48462128429637,0,0
control_43,control,2,54.49308655683473,0,0
control_43,control,3,52.03468172691616,0,0
control_43,control,4,58.692620056580076,0,0
control_43,control,5,54.23813164554127,0,0
control_43,control,6,58.24115880165747,0,0
control_43,control,7,57.232401610741455,0,0
control_43,control,8,59.71774205719495,0,0
control_43,control,9,61.60860901058865,0,0
control_43,control,10,62.698864060483,0,0
control_43,control,11,64.00505657765379,0,0
control_43,control,12,67.49370304690127,1,0
control_43,control,13,66.27841455141271,1,0
control_43,control,14,65.9880981174042,1,0
control_43,control,15,69.50965116416297,1,0
control_43,control,16,71.0654832450363,1,0
control_43,control,17,67.3363920765138,1,0
control_43,control,18,72.09147328608826,1,0
control_43,control,19,73.40408407061109,1,0
control_43,control,20,72.51167701887009,1,0
control_43,control,21,76.96328309181406,1,0
control_43,control,22,75.01682373072654,1,0
control_43,control,23,76.67315325133545,1,0
control_44,control,0,46.94209070479025,0,0
control_44,control,1,47.25609701815021,0,0
control_44,control,2,54.32676681454689,0,0
control_44,control,3,50.44539189621844,0,0
control_44,control,4,51.15808779870063,0,0
control_44,control,5,49.83565017516396,0,0
control_44,control,6,53.866064811750526,0,0
control_44,control,7,53.49936662507269,0,0
control_44,control,8,60.43113443691857,0,0
control_44,control,9,60.168296200089245,0,0
control_44,control,10,57.77391923580667,0,0
control_44,control,11,64.65664944160889,0,0
control_44,control,12,63.1168667096616,1,0
control_44,control,13,61.505230873419315,1,0
control_44,control,14,58.15764011544756,1,0
control_44,control,15,68.73989459513434,1,0
control_44,control,16,62.38042242118381,1,0
control_44,control,17,62.87032776555536,1,0
control_44,control,18,69.20782402824658,1,0
control_44,control,19,73.04374588166398,1,0
control_44,control,20,71.93434461076463,1,0
control_44,control,21,71.29517511860645,1,0
control_44,control,22,72.35842346659045,1,0
control_44,control,23,73.87730380557863,1,0
control_45,control,0,54.00304515683758,0,0
control_45,control,1,54.69757583553172,0,0
control_45,control,2,54.34295205599435,0,0
control_45,control,3,56.31765022239109,0,0
control_45,control,4,54.5212058901308,0,0
control_45,control,5,58.738559407329014,0,0
control_45,control,6,57.98617558901362,0,0
control_45,control,7,58.78429831128085,0,0
control_45,control,8,62.379384390416284,0,0
control_45,control,9,65.83171980319545,0,0
control_45,control,10,65.91246758490783,0,0
control_45,control,11,61.96295230805378,0,0
control_45,control,12,64.1528163845564,1,0
control_45,control,13,69.04173417607045,1,0
control_45,control,14,66.22333615541434,1,0
control_45,control,15,68.76716378489384,1,0
control_45,control,16,71.34465342533395,1,0
control_45,control,17,69.3359794599545,1,0
control_45,control,18,72.51153852437062,1,0
control_45,control,19,70.66085566463924,1,0
control_45,control,20,73.15429050897015,1,0
control_45,control,21,76.02470880755459,1,0
control_45,control,22,73.22727661460311,1,0
control_45,control,23,78.32233269998419,1,0
control_46,control,0,50.34963927349592,0,0
control_46,control,1,53.685340860756,0,0
control_46,control,2,52.26275800154584,0,0
control_46,control,3,52.20874690944124,0,0
control_46,control,4,54.36740199319802,0,0
control_46,control,5,56.26465204064795,0,0
control_46,control,6,56.3310251186683,0,0
control_46,control,7,57.36973735586636,0,0
control_46,control,8,56.9398195932868,0,0
control_46,control,9,58.07325012924013,0,0
control_46,control,10,57.64909041618436,0,0
control_46,control,11,65.00870344159934,0,0
control_46,control,12,60.077072479884606,1,0
control_46,control,13,62.23423755051708,1,0
control_46,control,14,63.2384824104122,1,0
control_46,control,15,67.52039469088119,1,0
control_46,control,16,66.19589557584997,1,0
control_46,control,17,70.3365280732232,1,0
control_46,control,18,67.54931167482972,1,0
control_46,control,19,70.50953024320678,1,0
control_46,control,20,69.33609680768137,1,0
control_46,control,21,76.35233816518938,1,0
control_46,control,22,70.7420920670253,1,0
control_46,control,23,74.7921793209801,1,0
control_47,control,0,52.79830908690508,0,0
control_47,control,1,53.9506229149388,0,0
control_47,control,2,55.33926716810901,0,0
control_47,control,3,55.99902013063897,0,0
control_47,control,4,59.262162277230914,0,0
control_47,control,5,62.79682995656895,0,0
control_47,control,6,58.302180293115725,0,0
control_47,control,7,57.71893781371839,0,0
control_47,control,8,61.32335958591919,0,0
control_47,control,9,67.70072226767547,0,0
control_47,control,10,61.97533436617253,0,0
control_47,control,11,67.90229702274529,0,0
control_47,control,12,69.02084494975517,1,0
control_47,control,13,65.59964674793146,1,0
control_47,control,14,68.88616929946315,1,0
control_47,control,15,72.04637629709482,1,0
control_47,control,16,69.07270747860792,1,0
control_47,control,17,70.46518215012331,1,0
control_47,control,18,70.7503609521759,1,0
control_47,control,19,70.92558922843261,1,0
control_47,control,20,72.69792750943148,1,0
control_47,control,21,72.58998197578413,1,0
control_47,control,22,76.14740935557225,1,0
control_47,control,23,75.58067586668166,1,0
control_48,control,0,51.83069002338265,0,0
control_48,control,1,53.68039791755122,0,0
control_48,control,2,48.8702791445701,0,0
control_48,control,3,54.45027400478779,0,0
control_48,control,4,57.00190928541887,0,0
control_48,control,5,52.971699698469514,0,0
control_48,control,6,59.58053694490697,0,0
control_48,control,7,57.91784062534329,0,0
control_48,control,8,56.51418933047401,0,0
control_48,control,9,58.65708532205505,0,0
control_48,control,10,60.729687737793554,0,0
control_48,control,11,60.609455130954565,0,0
control_48,control,12,62.37936676840212,1,0
control_48,control,13,60.304918032730285,1,0
control_48,control,14,63.329397302340816,1,0
control_48,control,15,61.00765709583833,1,0
control_48,control,16,64.45704440233052,1,0
control_48,control,17,63.71609167747799,1,0
control_48,control,18,64.89725751060767,1,0
control_48,control,19,69.68491418158771,1,0
control_48,control,20,70.23975850773502,1,0
control_48,control,21,70.11982494374047,1,0
control_48,control,22,67.5613336079606,1,0
control_48,control,23,69.95755267329578,1,0
control_49,control,0,60.70414757985931,0,0
control_49,control,1,57.86629587004865,0,0
control_49,control,2,58.47793011560397,0,0
control_49,control,3,58.489770645582894,0,0
control_49,control,4,60.38925707491645,0,0
control_49,control,5,60.83140728395478,0,0
control_49,control,6,63.566736001457045,0,0
control_49,control,7,65.07809497303302,0,0
control_49,control,8,62.60688310979195,0,0
control_49,control,9,62.53056781505628,0,0
control_49,control,10,62.53479466732924,0,0
control_49,control,11,68.2373597587249,0,0
control_49,control,12,66.02881558391606,1,0
control_49,control,13,64.94393930172284,1,0
control_49,control,14,71.04104938805371,1,0
control_49,control,15,76.26406290522137,1,0
control_49,control,16,72.28009373863998,1,0
control_49,control,17,74.98338880198705,1,0
control_49,control,18,74.48423766154288,1,0
control_49,control,19,75.13697132942944,1,0
control_49,control,20,78.18707529315127,1,0
control_49,control,21,76.78254493016243,1,0
control_49,control,22,78.91205033804752,1,0
control_49,control,23,80.03483301365972,1,0
treatment_0,treatment,0,46.30962821839394,0,1
treatment_0,treatment,1,46.24726164775272,0,1
treatment_0,treatment,2,49.93097588883287,0,1
treatment_0,treatment,3,48.16022447306364,0,1
treatment_0,treatment,4,51.11272698633763,0,1
treatment_0,treatment,5,52.137330913264606,0,1
treatment_0,treatment,6,55.426564273169824,0,1
treatment_0,treatment,7,55.303373842220225,0,1
treatment_0,treatment,8,55.403127693923686,0,1
treatment_0,treatment,9,58.1879184447682,0,1
treatment_0,treatment,10,60.432005179355905,0,1
treatment_0,treatment,11,59.86641492897866,0,1
treatment_0,treatment,12,64.87070379091534,1,1
treatment_0,treatment,13,63.32553032148192,1,1
treatment_0,treatment,14,64.91817969498514,1,1
treatment_0,treatment,15,67.5371618473802,1,1
treatment_0,treatment,16,68.02779108672462,1,1
treatment_0,treatment,17,69.97207712002596,1,1
treatment_0,treatment,18,71.55852381074472,1,1
treatment_0,treatment,19,73.60381370461761,1,1
treatment_0,treatment,20,73.50263487473963,1,1
treatment_0,treatment,21,75.71583995346386,1,1
treatment_0,treatment,22,75.97098973038536,1,1
treatment_0,treatment,23,72.99031200301101,1,1
treatment_1,treatment,0,42.88393354522401,0,1
treatment_1,treatment,1,47.48877173532647,0,1
treatment_1,treatment,2,50.3360071844493,0,1
treatment_1,treatment,3,50.69762046758437,0,1
treatment_1,treatment,4,48.81880226675717,0,1
treatment_1,treatment,5,53.21273152674532,0,1
treatment_1,treatment,6,51.514205411877484,0,1
treatment_1,treatment,7,51.52828979966502,0,1
treatment_1,treatment,8,51.96124765924706,0,1
treatment_1,treatment,9,53.56870485778052,0,1
treatment_1,treatment,10,54.38288183810216,0,1
treatment_1,treatment,11,56.485659164363426,0,1
treatment_1,treatment,12,62.45156592614002,1,1
treatment_1,treatment,13,63.12210124877496,1,1
treatment_1,treatment,14,64.97547679238866,1,1
treatment_1,treatment,15,67.46848424689648,1,1
treatment_1,treatment,16,67.97189121263429,1,1
treatment_1,treatment,17,64.08857824927966,1,1
treatment_1,treatment,18,62.936123160803405,1,1
treatment_1,treatment,19,70.8981964975137,1,1
treatment_1,treatment,20,67.28139052263217,1,1
treatment_1,treatment,21,70.55120836010548,1,1
treatment_1,treatment,22,69.64610435619996,1,1
treatment_1,treatment,23,69.36796077758648,1,1
treatment_2,treatment,0,51.5542928395705,0,1
treatment_2,treatment,1,48.60114457276438,0,1
treatment_2,treatment,2,53.7666557765795,0,1
treatment_2,treatment,3,56.718668199919826,0,1
treatment_2,treatment,4,54.05315256759673,0,1
treatment_2,treatment,5,58.45361106073358,0,1
treatment_2,treatment,6,59.132187038859534,0,1
treatment_2,treatment,7,61.39730525243797,0,1
treatment_2,treatment,8,61.55379850609436,0,1
treatment_2,treatment,9,60.444415403533206,0,1
treatment_2,treatment,10,65.85961180465557,0,1
treatment_2,treatment,11,64.22532517130291,0,1
treatment_2,treatment,12,70.56369075436724,1,1
treatment_2,treatment,13,69.82767943127098,1,1
treatment_2,treatment,14,71.88356636306462,1,1
treatment_2,treatment,15,72.0764409534241,1,1
treatment_2,treatment,16,74.57606977766132,1,1
treatment_2,treatment,17,79.42129437382312,1,1
treatment_2,treatment,18,74.32999064370598,1,1
treatment_2,treatment,19,74.92258564984549,1,1
treatment_2,treatment,20,82.16796461661644,1,1
treatment_2,treatment,21,79.88289212335577,1,1
treatment_2,treatment,22,80.03930951636993,1,1
treatment_2,treatment,23,84.53317988451218,1,1
treatment_3,treatment,0,48.32777404399422,0,1
treatment_3,treatment,1,47.17870045637897,0,1
treatment_3,treatment,2,53.65174067055608,0,1
treatment_3,treatment,3,49.308295369373084,0,1
treatment_3,treatment,4,53.186516930753065,0,1
treatment_3,treatment,5,53.48351231890213,0,1
treatment_3,treatment,6,56.67101070824144,0,1
treatment_3,treatment,7,58.373151494252234,0,1
treatment_3,treatment,8,56.49673837028476,0,1
treatment_3,treatment,9,56.108495302815555,0,1
treatment_3,treatment,10,59.71787630074085,0,1
treatment_3,treatment,11,58.6251022467131,0,1
treatment_3,treatment,12,70.18990845262525,1,1
treatment_3,treatment,13,67.61880559109217,1,1
treatment_3,treatment,14,67.79769279765716,1,1
treatment_3,treatment,15,70.0802974833659,1,1
treatment_3,treatment,16,68.19928526393139,1,1
treatment_3,treatment,17,70.13291073732417,1,1
treatment_3,treatment,18,75.659567601589,1,1
treatment_3,treatment,19,73.12755219911207,1,1
treatment_3,treatment,20,73.53011976304568,1,1
treatment_3,treatment,21,77.87984820481883,1,1
treatment_3,treatment,22,80.36055198044494,1,1
treatment_3,treatment,23,80.60965126380377,1,1
treatment_4,treatment,0,52.13661709554539,0,1
treatment_4,treatment,1,58.90722622408311,0,1
treatment_4,treatment,2,56.18351973363092,0,1
treatment_4,treatment,3,57.25153386954815,0,1
treatment_4,treatment,4,61.333908677299405,0,1
treatment_4,treatment,5,60.71430090354567,0,1
treatment_4,treatment,6,61.43793692005062,0,1
treatment_4,treatment,7,65.78048655683263,0,1
treatment_4,treatment,8,61.08776589741323,0,1
treatment_4,treatment,9,65.15480310547903,0,1
treatment_4,treatment,10,64.33746959025379,0,1
treatment_4,treatment,11,65.6849483893292,0,1
treatment_4,treatment,12,74.12902117557078,1,1
treatment_4,treatment,13,73.01207632646802,1,1
treatment_4,treatment,14,73.9973174631311,1,1
treatment_4,treatment,15,75.99006047079449,1,1
treatment_4,treatment,16,74.03946082823217,1,1
treatment_4,treatment,17,74.01526744378299,1,1
treatment_4,treatment,18,74.52838888156198,1,1
treatment_4,treatment,19,73.60961458199509,1,1
treatment_4,treatment,20,82.57906251177079,1,1
treatment_4,treatment,21,77.18455201158984,1,1
treatment_4,treatment,22,79.87278198700471,1,1
treatment_4,treatment,23,80.68598312554148,1,1
treatment_5,treatment,0,53.257980465764994,0,1
treatment_5,treatment,1,51.45245233316156,0,1
treatment_5,treatment,2,53.36593750398054,0,1
treatment_5,treatment,3,55.34691455378389,0,1
treatment_5,treatment,4,55.36594612169413,0,1
treatment_5,treatment,5,60.15959324735514,0,1
treatment_5,treatment,6,59.00842571984558,0,1
treatment_5,treatment,7,60.57780510992265,0,1
treatment_5,treatment,8,61.51538579641176,0,1
treatment_5,treatment,9,63.618144695301524,0,1
treatment_5,treatment,10,62.71481381899222,0,1
treatment_5,treatment,11,60.84068052692704,0,1
treatment_5,treatment,12,70.31529404759794,1,1
treatment_5,treatment,13,69.29477807776294,1,1
treatment_5,treatment,14,70.621832223101,1,1
treatment_5,treatment,15,73.93336734536463,1,1
treatment_5,treatment,16,76.31877917197565,1,1
treatment_5,treatment,17,74.96632990383443,1,1
treatment_5,treatment,18,76.62302649681418,1,1
treatment_5,treatment,19,80.49136408214063,1,1
treatment_5,treatment,20,78.65001427310123,1,1
treatment_5,treatment,21,84.45344786373882,1,1
treatment_5,treatment,22,81.46267464789504,1,1
treatment_5,treatment,23,77.89170355957425,1,1
treatment_6,treatment,0,56.34621361368815,0,1
treatment_6,treatment,1,56.151186646550855,0,1
treatment_6,treatment,2,55.566027814531665,0,1
treatment_6,treatment,3,54.43245914840877,0,1
treatment_6,treatment,4,57.50112494490372,0,1
treatment_6,treatment,5,57.25624638954545,0,1
treatment_6,treatment,6,58.83435623684288,0,1
treatment_6,treatment,7,62.210675783781824,0,1
treatment_6,treatment,8,65.4114438221317,0,1
treatment_6,treatment,9,63.899093711563125,0,1
treatment_6,treatment,10,61.75610036633506,0,1
treatment_6,treatment,11,66.075187665334,0,1
treatment_6,treatment,12,73.6173611406733,1,1
treatment_6,treatment,13,71.04264819723151,1,1
treatment_6,treatment,14,73.0322955110127,1,1
treatment_6,treatment,15,74.36782207230522,1,1
treatment_6,treatment,16,73.80676489517063,1,1
treatment_6,treatment,17,77.7112382275111,1,1
treatment_6,treatment,18,77.2108969010961,1,1
treatment_6,treatment,19,79.329973924614,1,1
treatment_6,treatment,20,77.75404051968401,1,1
